away_team,home_team,total_line,total_line_est,total_diff,away_spread_est,away_pts_est,home_pts_est,away_off_ppg,away_off_ppg_rank,home_def_ppg,home_def_ppg_rank,home_off_ppg,home_off_ppg_rank,away_def_ppg,away_def_ppg_rank,away_off_ypg,home_def_ypg,home_off_ypg,away_def_ypg,away_tds_per_game,home_tds_per_game
Kansas City Chiefs,Buffalo Bills,52.5,47.8,-4.7,0.4,24.1,23.7,26.8,7,20.9,9,29.6,4,16.4,2,378.3 (#5),312.1 (#12),382.9 (#3),277.8 (#4),3.6 (#3),1.9 (#4)
San Francisco 49ers,New York Giants,48.5,44.2,-4.3,2.0,23.1,21.1,20.0,25,26.9,26,21.6,22,20.5,8,348.6 (#13),382.4 (#29),325.3 (#18),337.1 (#22),2.6 (#15),2.3 (#8)
Atlanta Falcons,New England Patriots,45.5,42.1,-3.4,-6.9,17.6,24.5,17.1,28,18.3,4,26.6,8,22.0,13,342.7 (#14),300.4 (#9),353.1 (#10),275.6 (#2),3.1 (#8),2.3 (#12)
Carolina Panthers,Green Bay Packers,43.5,46.2,2.7,-5.8,20.2,26.0,19.3,27,21.4,10,27.6,5,24.0,20,316.4 (#21),289.4 (#6),359.1 (#7),310.0 (#11),3.1 (#7),2.8 (#21)
Jacksonville Jaguars,Las Vegas Raiders,43.5,41.1,-2.4,5.1,23.1,18.0,20.9,24,25.7,23,14.7,31,22.1,15,334.9 (#15),328.6 (#17),276.4 (#30),336.9 (#21),1.4 (#31),2.7 (#19)
New Orleans Saints,Los Angeles Rams,43.5,41.8,-1.7,-9.2,16.3,25.5,16.0,29,16.7,3,25.0,12,26.1,24,295.0 (#27),314.1 (#13),360.1 (#6),320.3 (#15),3.0 (#10),2.9 (#23)
Indianapolis Colts,Pittsburgh Steelers,50.5,52.2,1.7,7.4,29.8,22.4,33.8,1,25.0,22,25.0,12,19.3,6,385.3 (#1),386.0 (#30),297.1 (#25),345.1 (#24),2.7 (#14),2.3 (#8)
Minnesota Vikings,Detroit Lions,47.5,49.2,1.7,-5.4,21.9,27.3,22.1,18,21.6,11,30.7,3,23.1,19,296.6 (#26),300.0 (#8),357.3 (#8),318.4 (#14),3.9 (#2),2.6 (#17)
Arizona Cardinals,Dallas Cowboys,54.5,52.9,-1.6,-0.7,26.1,26.8,21.9,19,31.3,31,30.8,2,22.0,13,310.3 (#22),404.6 (#31),384.1 (#2),335.7 (#19),3.5 (#4),2.3 (#12)
Denver Broncos,Houston Texans,40.5,41.4,0.9,0.4,20.9,20.5,25.9,10,14.7,1,21.9,19,18.9,5,356.9 (#9),266.9 (#1),328.7 (#17),281.4 (#5),2.1 (#24),1.8 (#2)
Seattle Seahawks,Washington Commanders,48.5,47.9,-0.6,4.7,26.3,21.6,27.6,5,24.8,21,23.4,17,19.4,7,350.6 (#11),372.8 (#27),334.4 (#16),305.9 (#10),2.8 (#13),2.0 (#5)
Los Angeles Chargers,Tennessee Titans,43.5,43.2,-0.3,8.6,25.9,17.3,23.5,16,28.8,30,13.8,32,21.6,12,378.5 (#4),358.4 (#26),248.8 (#32),296.9 (#7),1.1 (#32),2.3 (#8)
Chicago Bears,Cincinnati Bengals,51.5,51.3,-0.2,3.5,27.4,23.9,24.0,15,31.6,32,21.8,21,26.4,25,350.1 (#12),407.9 (#32),284.9 (#29),350.7 (#25),2.5 (#17),3.1 (#29)
Las Vegas Raiders,Denver Broncos,42.5,,,,,,,,,,,,,,,,,,,
Atlanta Falcons,Indianapolis Colts,48.5,,,,,,,,,,,,,,,,,,,
Baltimore Ravens,Minnesota Vikings,47.5,,,,,,,,,,,,,,,,,,,
Buffalo Bills,Miami Dolphins,50.5,,,,,,,,,,,,,,,,,,,
New Orleans Saints,Carolina Panthers,41.5,,,,,,,,,,,,,,,,,,,
New York Giants,Chicago Bears,47.5,,,,,,,,,,,,,,,,,,,
Cleveland Browns,New York Jets,38.5,,,,,,,,,,,,,,,,,,,
Jacksonville Jaguars,Houston Texans,41.5,,,,,,,,,,,,,,,,,,,
New England Patriots,Tampa Bay Buccaneers,48.5,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,Seattle Seahawks,45.5,,,,,,,,,,,,,,,,,,,
Detroit Lions,Washington Commanders,51.5,,,,,,,,,,,,,,,,,,,
Los Angeles Rams,San Francisco 49ers,48.5,,,,,,,,,,,,,,,,,,,
Pittsburgh Steelers,Los Angeles Chargers,46.5,,,,,,,,,,,,,,,,,,,
Philadelphia Eagles,Green Bay Packers,45.5,,,,,,,,,,,,,,,,,,,
